epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,5775.31,1.4036,1.30007,1.29468,0.16587,0.23512,0.09644,0.03469,2.43969,2.71041,2.08294,0.000297226,0.000297226,0.000297226
85,5847.25,1.42269,1.30896,1.35092,0.14441,0.20238,0.09789,0.03614,2.40676,2.69848,2.05498,0.000280723,0.000280723,0.000280723
86,5918.82,1.3894,1.39842,1.35281,0.15744,0.23673,0.10033,0.03476,2.42898,2.74282,2.06715,0.00026422,0.00026422,0.00026422
87,5990.78,1.38602,1.32766,1.30872,0.16871,0.24579,0.09831,0.03502,2.43083,2.76541,2.06867,0.000247716,0.000247716,0.000247716
88,6063.57,1.40805,1.32877,1.327,0.16289,0.22917,0.09621,0.03495,2.4304,2.76218,2.08144,0.000231213,0.000231213,0.000231213
89,6135.87,1.40369,1.30086,1.3266,0.15962,0.23677,0.09941,0.03602,2.42071,2.76555,2.08426,0.00021471,0.00021471,0.00021471
90,6208.13,1.41991,1.38114,1.36585,0.15203,0.23512,0.10087,0.03619,2.42262,2.75384,2.07278,0.000198206,0.000198206,0.000198206
91,6355.56,1.45111,1.58966,1.35334,0.13736,0.22917,0.0936,0.03396,2.40238,2.73583,2.04795,0.000181703,0.000181703,0.000181703
92,6426.62,1.41099,1.52622,1.36419,0.13536,0.23214,0.08965,0.0313,2.42014,2.7456,2.04892,0.0001652,0.0001652,0.0001652
93,6497.8,1.48218,1.55325,1.37495,0.13134,0.22619,0.09077,0.03297,2.39927,2.74511,2.0407,0.000148696,0.000148696,0.000148696
94,6569.67,1.44176,1.45282,1.3274,0.20177,0.12798,0.09052,0.03171,2.38591,2.80498,2.0424,0.000132193,0.000132193,0.000132193
95,6641.37,1.45706,1.38846,1.34788,0.16134,0.19643,0.09666,0.03172,2.38041,2.77569,2.04611,0.00011569,0.00011569,0.00011569
96,6713.49,1.39493,1.4048,1.2979,0.16582,0.1875,0.09575,0.03254,2.38562,2.76991,2.04811,9.91865e-05,9.91865e-05,9.91865e-05
97,6785.59,1.36002,1.37134,1.2785,0.19245,0.1994,0.09888,0.03435,2.39191,2.72955,2.05081,8.26832e-05,8.26832e-05,8.26832e-05
98,6858.52,1.36868,1.37262,1.29713,0.18786,0.21429,0.10354,0.03601,2.40717,2.70536,2.05131,6.61799e-05,6.61799e-05,6.61799e-05
99,6930.81,1.38544,1.33581,1.29935,0.19451,0.23214,0.10583,0.03579,2.39777,2.6947,2.05043,4.96766e-05,4.96766e-05,4.96766e-05
100,7002.61,1.34567,1.32165,1.31096,0.19633,0.23309,0.10777,0.03539,2.39956,2.67784,2.0528,3.31733e-05,3.31733e-05,3.31733e-05
